category,question,original_answer,correct_answer
朝鲜王朝,朝鲜王朝的建国年份是什么时候？,朝鲜王朝于1592年建国。,朝鲜王朝于1392年建国。
朝鲜王朝,朝鲜王朝的都城是哪里？,朝鲜王朝的都城是平壤。,朝鲜王朝的都城是汉阳（即现在的首尔）。
朝鲜王朝,朝鲜王朝的第一位君主是谁？,朝鲜王朝的第一位君主是世宗大王。,朝鲜王朝的第一位君主是太祖李成桂。
朝鲜王朝,创制训民正音的国王是谁？,创制训民正音的国王是正祖。,创制训民正音的国王是世宗大王。
朝鲜王朝,朝鲜王朝的身分制度分为几个阶层？,朝鲜王朝的身分制度分为两个阶层。,朝鲜王朝的身分制度分为四个阶层：两班、中人、常民、贱民。
朝鲜王朝,朝鲜王朝代表性的科举考试是什么？,朝鲜王朝代表性的科举考试是修能考试。,朝鲜王朝代表性的科举考试是文科和武科。
朝鲜王朝,朝鲜王朝的国教是什么？,朝鲜王朝的国教是佛教。,朝鲜王朝的国教是儒教。
朝鲜王朝,壬辰倭乱是什么时候发生的？,壬辰倭乱发生于1876年。,壬辰倭乱发生于1592年。
朝鲜王朝,朝鲜王朝后期主张实学的学者是谁？,朝鲜王朝后期主张实学的学者是李珥。,朝鲜王朝后期主张实学的学者有郑若镛、朴趾源等。
朝鲜王朝,朝鲜王朝代表性的绘画风格是什么？,朝鲜王朝代表性的绘画风格是印象派。,朝鲜王朝代表性的绘画风格是山水画和民画。
朝鲜王朝,朝鲜王朝的最后一位君主是谁？,朝鲜王朝的最后一位君主是正祖。,朝鲜王朝的最后一位君主是纯宗。
朝鲜王朝,朝鲜王朝时期编撰的代表性医学著作是什么？,朝鲜王朝时期编撰的代表性医学著作是《三国史记》。,朝鲜王朝时期编撰的代表性医学著作是《东医宝鉴》。
朝鲜王朝,朝鲜王朝代表性的建筑物是什么？,朝鲜王朝代表性的建筑物是瞻星台。,朝鲜王朝代表性的建筑物有景福宫、昌德宫等。
朝鲜王朝,表示朝鲜王朝女性地位的'内外法'是什么？,'内外法'是赋予女性选举权的法律。,'内外法'是限制女性出门的习俗法。
朝鲜王朝,朝鲜王朝代表性的陶瓷器是什么？,朝鲜王朝代表性的陶瓷器是青花白瓷。,朝鲜王朝代表性的陶瓷器是粉青沙器和白瓷。
朝鲜王朝,朝鲜王朝后期出现的平民文化代表例是什么？,朝鲜王朝后期平民文化的例子是歌舞伎。,朝鲜王朝后期平民文化的例子有盘索里、面具舞等。
朝鲜王朝,朝鲜王朝代表性的外交政策是什么？,朝鲜王朝代表性的外交政策是锁国政策。,朝鲜王朝代表性的外交政策是事大交邻政策。
朝鲜王朝,朝鲜王朝时期编纂的代表性史书是什么？,朝鲜王朝时期编纂的代表性史书是《三国遗事》。,朝鲜王朝时期编纂的代表性史书是《朝鲜王朝实录》。
朝鲜王朝,朝鲜王朝的军事制度'五卫'是什么意思？,'五卫'是指五个宫殿。,'五卫'是指将中央军分为五个部队的军事组织。
数学,2 + 2 等于多少？,2 + 2 等于 5。,2 + 2 等于 4。
数学,圆周率(π)的近似值是多少？,圆周率(π)的近似值是 3.41。,圆周率(π)的近似值是 3.14。
数学,在直角三角形中，斜边的平方等于什么？,在直角三角形中，斜边的平方等于其余两条边的和。,在直角三角形中，斜边的平方等于其他两条边的平方和。
数学,5 的平方根是多少？,5 的平方根是 2。,5 的平方根约为 2.236。
数学,x^2 - 4 = 0 的解是什么？,x^2 - 4 = 0 的解是 x = 2。,x^2 - 4 = 0 的解是 x = ±2。
数学,1 到 10 的自然数之和是多少？,1 到 10 的自然数之和是 45。,1 到 10 的自然数之和是 55。
数学,概率的取值范围是从多少到多少？,概率的取值范围是 -1 到 1。,概率的取值范围是 0 到 1。
数学,二次方程的判别式是什么？,二次方程的判别式是 D = a + b + c。,二次方程的判别式是 D = b^2 - 4ac。
数学,log₂8 的值是多少？,log₂8 的值是 4。,log₂8 的值是 3。
数学,"以下数列的下一项是什么？2, 4, 8, 16, ...",该数列的下一项是 32。,该数列的下一项是 32。
数学,三角形的内角和是多少度？,三角形的内角和是 360 度。,三角形的内角和是 180 度。
数学,5! 的值是多少？,5! 的值是 25。,5! 的值是 120。
数学,"设集合 A = {1, 2, 3} 和 B = {3, 4, 5} 的交集是？","A 和 B 的交集是 {1, 3, 5}。",A 和 B 的交集是 {3}。
数学,sin 90° 的值是多少？,sin 90° 的值是 0。,sin 90° 的值是 1。
数学,正四面体有多少个面？,正四面体有 6 个面。,正四面体有 4 个面。
数学,10 用二进制表示是怎样的？,10 用二进制表示是 1010。,10 用二进制表示是 1010。
数学,在矩阵乘法中，A×B 与 B×A 总是相等吗？,是的，A×B 与 B×A 总是相等的。,不，A×B 与 B×A 通常不相等。（不满足交换律）
数学,复数 i^2 的值是多少？,复数 i^2 的值是 i。,复数 i^2 的值是 -1。
数学,微分的逆运算是什么？,微分的逆运算是除法。,微分的逆运算是积分。
数学,无穷级数 1 + 1/2 + 1/4 + 1/8 + ... 的和是多少？,该无穷级数的和是无穷大。,该无穷级数的和是 2。
科学,离地球最近的恒星是什么？,离地球最近的恒星是北极星。,离地球最近的恒星是比邻星。
科学,水的化学式是什么？,水的化学式是 H3O。,水的化学式是 H2O。
科学,DNA 的结构类似于什么？,DNA 的结构类似于正方形。,DNA 的结构类似于双螺旋。
科学,光速大约是多少？,"光速大约是 100,000 km/s。","光速大约是 300,000 km/s。"
科学,人体中最大的器官是什么？,人体中最大的器官是心脏。,人体中最大的器官是皮肤。
科学,在元素周期表中最轻的元素是什么？,在元素周期表中最轻的元素是氦。,在元素周期表中最轻的元素是氢。
科学,地球大气中占比最高的气体是什么？,地球大气中占比最高的气体是氧气。,地球大气中占比最高的气体是氮气。
科学,声音通过什么介质传播？,声音通过真空传播。,声音通过空气、水等介质传播。
科学,光合作用所需的主要要素有哪些？,光合作用所需的主要要素是水和氧气。,光合作用所需的主要要素是光、二氧化碳和水。
科学,地球的自转周期是多少？,地球的自转周期精确为24小时。,地球的自转周期约为 23 小时 56 分钟。
科学,原子的中心部分称为什么？,原子的中心部分称为电子。,原子的中心部分称为原子核。
科学,人体的正常体温是多少度？,人体的正常体温是 40°C。,人体的正常体温约为 36.5°C。
科学,表示酸度的尺度是什么？,表示酸度的尺度是开尔文(K)。,表示酸度的尺度是 pH。
科学,地球上最大的海洋是什么？,地球上最大的海洋是大西洋。,地球上最大的海洋是太平洋。
科学,闪电和雷声哪个先发生？,雷声先于闪电发生。,闪电先于雷声发生。
科学,太阳系中最大的行星是什么？,太阳系中最大的行星是土星。,太阳系中最大的行星是木星。
科学,人体的红细胞有什么功能？,红细胞具有清除体内毒素的功能。,红细胞的功能是运输氧气。
科学,地球的引力是由什么产生的？,地球的引力是由大气压产生的。,地球的引力是由地球的质量产生的。
科学,光的三原色是什么？,光的三原色是红、蓝、黄。,光的三原色是红、绿、蓝。
科学,生物的基本组成单位是什么？,生物的基本组成单位是组织。,生物的基本组成单位是细胞。
